,Date (GMT),Facebook Page,Post ID,Post Type,Post_Message,Tags,Campaign,Comments,Engaged Users,Engagement Rate,Reach,Reactions,Shares,Video Views
380,2019-01-14 16:45:13,Entreprises Canada,106585486115074_2012851282155142,Link,Vous êtes en quête d’inspiration pour votre prochain projet d’affaires?  Ces histoires d’entrepreneurs qui ont pris des risques et qui ont réussi vous motiveront peut-être à persévérer: http://ow.ly/DtvV30niXWI,,,1,41,0.033225,1234,13,2,0
382,2019-07-30 15:45:32,Innovation canadienne,245607425815415_878982769144541,Link,"Pour les propriétaires d’entreprise, la protection de la propriété intellectuelle est extrêmement importante.   Les brevets, les droits d’auteur, les marques de commerce et les dessins industriels déposés peuvent leur donner un avantage concurrentiel important. La #StratégiePI s’inscrit dans la #CharteNumérique du Canada en action: http://ow.ly/XnSf50vgVza",,,0,21,0.069767,301,12,3,0
383,2019-08-27 16:00:37,Canada Business,244892072221776_2624345534276406,Photo,"In the time it takes you to make your favourite cup of ☕, you can also find ways to grow your #CDNBiz! Learn more: ow.ly/wGBo50v9odl #InnovationCanada",,,5,46,0.033141,1388,12,4,0
384,2019-08-19 19:00:15,Canada Business,244892072221776_2609746795736280,Photo,"The Women Entrepreneurship Strategy offers many programs to support women in business. Today in Fredericton, Minister Ng announced investments to support local women-owned and women-led businesses.  http://ow.ly/LOeg50vCtPo",,,8,38,0.030869,1231,12,3,0
385,2019-08-19 18:04:27,Canada Business,244892072221776_2609667435744216,Photo,"#ATTN, business owners! Try out the early release of our Canada Business App to focus on what really matters: building your business. Set up personalized notifications, find government programs in your region and connect directly with government support to answer your questions. There are countless tools for Canadian business owners to explore. Download the app and let us know what you think.   Google Play: http://ow.ly/770o50vCqIm Apple App Store: http://ow.ly/DkUS50vCqI1",,,7,55,0.037568,1464,12,3,0
386,2019-08-07 18:16:07,Canada Business,244892072221776_2588062147904745,Photo,Did you know social media can be a 🔑factor in the success of your #business? Taking the time to create an online presence for your business can help improve its exposure! Check out @CFIB for tips on how to create and maintain social media channels for your #business:  http://ow.ly/zIBw50vr2H6,,,3,33,0.025842,1277,12,3,0
387,2019-06-14 18:00:20,Canada Business,244892072221776_2489327951111499,Photo,"Every business is unique. That’s why our new Canada Business App offers features to personalize your experience, like geolocation! Or manage a list of favourites, notifications and calendar updates tailored to your specific needs. Our goal is to simplify your access to #GoC services. Download the early release and give us your feedback!    GooglePlay: http://ow.ly/Id0R50uElv1 AppleStore: http://ow.ly/f77Y50uElv2",,,13,40,0.038722,1033,12,0,0
388,2019-02-20 21:30:23,Canada Business,244892072221776_2304130032964626,Photo,The #GoC launched its Women Entrepreneurship Strategy with the goal of doubling the number of women-owned firms by 2025. http://ow.ly/FFVj30nLPm8  #WomenEntrepreneurs #WESucceed,,,9,42,0.034091,1232,12,5,0
389,2019-01-17 16:45:19,Canada Business,244892072221776_2251451828232447,Photo,"Attention, senior entrepreneurs! A short business plan can be useful for planning and pitching your business. 📝 A plan that states your goals and vision can help keep you on track. Find out the benefits of creating a short business plan. http://ow.ly/6q6L30nj4jt",,,2,37,0.033065,1119,12,5,0
390,2019-01-07 16:45:14,Canada Business,244892072221776_2236860113024952,Photo,#MotivationMonday  Do you have questions about how to prepare a business plan? Find the answers to the most FAQs to help you with your #smallbiz. http://ow.ly/32C430nduxA,,,4,36,0.027273,1320,12,4,0
391,2019-07-22 13:55:33,Canadian Innovation,136461090093520_856534094710115,Video,Check out how support from the #StrategicInnovationFund is helping Aluminerie Alouette and supports Canada’s aluminum sector and the creation of good jobs.,,,0,20,0.037037,540,12,0,99
393,2019-08-01 16:47:46,Canadian Innovation,136461090093520_583264128746545,Photo,"Canadians living with disabilities have the same ambitions as all other Canadians: they want to find good jobs, contribute to their communities, and build a better life for themselves and their families. Yet many still find barriers to their full participation in the digital economy.  To help them overcome these barriers, the government announced an investment of more than $2.7 million in AccessNow through the Accessible Technology Program. The government’s contribution will help AccessNow expand the reach of its online platform in Canada and develop an interactive map that will allow people to share information about the accessibility features of public spaces.   Canada can only reach its full potential when everyone has the opportunity to participate equally in our economy. http://ow.ly/U0QX50vk1Jg",,,0,13,0.021138,615,12,1,0
394,2019-06-26 19:00:38,Canadian Innovation,136461090093520_563746784031613,Photo,Minister Duncan was at @UWindsor to celebrate the completion of its newest #infrastructure project: the Essex Centre of Research (CORe). This bold initiative received support from the #GoC’s Post-Secondary Institutions Strategic Investment Fund.  http://ow.ly/blDd50uNAV1,,,0,15,0.028517,526,12,1,0
395,2019-06-11 17:54:26,Canadian Innovation,136461090093520_554946871578271,Photo,"Through the #StrategicInnovationFund, we’re supporting innovative Canadians in #cleantech companies. Meet Janice at General Fusion",,,3,27,0.045685,591,12,1,0
396,2019-05-29 15:20:18,Canadian Innovation,136461090093520_547658752307083,Photo,"Canadians living with disabilities have the same ambitions as all other Canadians. They want to find good jobs, contribute to their communities, and build a better life for themselves and their families. Yet many still face barriers to their full participation in the digital economy.  To help overcome those barriers, $1.7 million in funding is going to the OCAD University through the federal government’s Accessible Technology Program.   This investment will help OCAD U’s research unit, the Inclusive Design Research Centre (IDRC), develop tools, software applications and devices that are needed to participate in the rapidly growing digital economy but are not currently available to persons living with disabilities. In designing new tools and methods, the IDRC will work with persons with disabilities through challenge workshops to identify issues that need to be addressed.  Canada can only reach its full potential when everyone has the opportunity to participate equally in our economy. http://ow.ly/fTzf50us2YV",,,0,13,0.029018,448,12,1,0
397,2019-04-25 21:02:12,Canadian Innovation,136461090093520_530650344007924,Photo,"Companies across Canada are developing #cleantech. This is not only helping protect our environment but also creating well-paying jobs for the middle class.   Today’s investment in Rotoliptic Technologies Inc. will help the company develop its high-efficiency pump technology.   Consisting of only two parts, the unique pump architecture of this revolutionary technology means simple deployment, lower operating costs and applicability to a wide range of pumping needs.   This innovation has the potential to lower both the energy consumption and the cost of ownership by approximately 40%. Support for the development of this innovation will help maintain 9 jobs and create 6 additional ones.  #InvestInCanada  http://ow.ly/Rzmj50rZTk3",,,0,16,0.032922,486,12,2,0
398,2019-04-25 20:29:48,Canadian Innovation,136461090093520_530640947342197,Photo,Minister Murray was at Simon Fraser University to celebrate the opening of the Sustainable Energy and Environmental Engineering Building (SE3P). This #infrastructure project was funded under the #GoC’s Post-Secondary Institutions Strategic Investment Fund http://ow.ly/skT150rYQ5M,,,0,16,0.034409,465,12,4,0
400,2019-04-16 19:29:02,Canadian Innovation,136461090093520_526160737790218,Photo,"Companies across Canada are developing #cleantech. This is not only helping protect the environment but also creating well-paying jobs for the middle class.   Today’s investment in @SaltworksTech will help the company develop the AirBreather, an innovation that solves a critical problem in the oil and gas industry: how to dispose of wastewater in a cost-effective and environmentally safe way. #InvestInCanada http://ow.ly/tRiV50qtO3C",,,0,43,0.030154,1426,12,3,0
402,2019-03-27 18:45:02,Canadian Innovation,136461090093520_516843535388605,Photo,#YourBudget2019 proposes $60 million over two years to support #CanCode’s ongoing work and help one million more young Canadians gain new digital skills.,,,1,15,0.035211,426,12,1,0
403,2019-02-11 17:14:55,Canadian Innovation,136461090093520_497657690640523,Link,Watch Live: Minister Bains and MP Alghabra announce support for entrepreneurship and innovation today at Sheridan College http://ow.ly/M1hF30nEYYi,,,0,20,0.027816,719,12,2,0
404,2019-02-08 17:15:05,Canadian Innovation,136461090093520_496251984114427,Photo,"Minister Petitpas Taylor was at @umoncton to celebrate the New Brunswick Centre for Precision Medicine, an infrastructure project funded under the #GoC’s Post-Secondary Institutions Strategic Investment Fund.  http://ow.ly/VubB101tLoS",,,0,17,0.047619,357,12,0,0
405,2019-01-14 17:01:23,Canadian Innovation,136461090093520_484922298580729,Photo,"Tune in to #InnovationLive🎥 tomorrow at 8:30 a.m. (ET) to see our hosts speak to two very special guests: 🇨🇦’s Chief Statistician, Anil Arora of Statistics Canada; and the Deputy Minister of Social Development Canada, Graham Flack, on the #Data #Strategy for the Federal Public Service. 📊🖥️🤓 #3GCDC",,,0,51,0.033775,1510,12,6,0
406,2019-01-08 16:30:12,Canadian Innovation,136461090093520_482184858854473,Photo,"Don’t let finances stop you from getting the education you want. The Government of Canada has information on funding, such as grants and scholarships, for high school, college, undergraduate and graduate students. Find out more: http://ow.ly/HPAr30nbUVD",,,0,31,0.034989,886,12,6,0
407,2019-08-28 15:01:11,Canadian Science,126081027444465_2642572312461978,Photo,"Space weather refers to the collection of physical processes, beginning at the Sun, that ultimately affect human activities on Earth and in space. Learn more about auroras, coronal mass ejections, geomagnetic storms and much more!  http://ow.ly/Eedy50vMubM",,,0,38,0.032534,1168,12,3,0
408,2019-06-04 15:25:18,Canadian Science,126081027444465_2485884354797442,Photo,"The temperate climate in many parts of Canada makes this country an ideal place to grow potatoes. However, with global temperatures on the rise, potato crops are experiencing heat stress, which is affecting yields and quality across the country. Fear not: a recent study found that some varieties can take the heat better than others! This heat hardiness is offering researchers clues that could lead to the development of potato varieties that thrive in higher temperatures. http://ow.ly/B4gP50uwmDU Agriculture and Agri-Food Canada",,,1,181,0.050516,3583,12,2,0
410,2019-05-09 14:18:16,Canadian Science,126081027444465_2440507762668435,Photo,"Increasing equity, diversity, and inclusion (EDI) in research environments enhances excellence, innovation and creativity. EDI policies and practices strengthen the research community, as well as the quality, social relevance, outcomes and impacts of research.  Today, Minister Duncan launched the Dimensions Charter, as well as Dimensions: Equity, Diversity and Inclusion Canada, a pilot program  inspired by the United Kingdom’s internationally recognized Athena SWAN program. These bold new initiatives will enrich diversity in Canada’s research community. http://ow.ly/Dwwo30oGF9k",,,0,80,0.038685,2068,12,10,0
413,2019-08-22 17:00:23,Entreprises Canada,106585486115074_2372520552854878,Photo,"Le Fonds pour l’écosystème de la SFE appuie des projets coordonnés à l’échelle nationale et personnalisés à l’échelle régionale qui favorisent la prospérité des #FemmesEntrepreneures.  Aujourd’hui, la ministre Ng a annoncé un investissement important par l’intermédiaire de ce fonds. https://www.canada.ca/fr/innovation-sciences-developpement-economique/nouvelles/2019/08/la-ministre-ng-annonce-des-investissements-au-titre-de-la-strategie-pour-les-femmes-en-entrepreneuriat2.html",,,4,29,0.026197,1107,12,0,0
414,2019-08-14 15:45:12,Entreprises Canada,106585486115074_2357722827667984,Photo,"Les manquements aux mesures de sécurité peuvent avoir de graves conséquences pour une entreprise, dont des pertes financières, le vol de propriété intellectuelle précieuse et la fuite de données sur les consommateurs.  CyberSécuritaire Canada est un programme d’accréditation volontaire en cybersécurité. Les petites et moyennes entreprises qui y participent montrent à leur clientèle qu’elles se sont dotées de mesures pour se prémunir contre les cybermenaces les plus communes.   Obtenez plus de renseignements sur l’accréditation: http://ow.ly/X6B950vxuxT",,,4,39,0.023665,1648,12,2,0
415,2019-07-03 15:45:14,Entreprises Canada,106585486115074_2283222238451377,Photo,#SVQ la plupart des entreprises fédérales canadiennes doivent enregistrer qui les contrôle? Cela vise à lutter contre la #fraude et à accroître la #transparence. Apprenez qui a le contrôle de votre société : http://ow.ly/PB9A50uSHK1.,,,5,33,0.036264,910,12,0,0
416,2019-06-21 15:45:18,Entreprises Canada,106585486115074_2261598300613771,Status,Votre #entreprise à domicile prospère et vous voulez passer à la prochaine étape? Trouvez les permis et licences qu’il vous faut pour prendre de l’expansion. PerLE peut vous aider à vous y retrouver parmi les trois ordres de gouvernement: http://ow.ly/AMhg50uJfzu,,,3,21,0.015373,1366,12,0,0
417,2019-04-02 15:45:12,Entreprises Canada,106585486115074_2129630173810585,Photo,"Les #jeunesentrepreneurs continueront à profiter du mentorat, des ressources d’apprentissage et du financement de démarrage dont ils ont besoin pour bâtir les entreprises de demain grâce à l’investissement de 38M$ du #GC dans @futurpreneur. Plus d’info: http://ow.ly/FTPe30oinSR",,,0,25,0.026596,940,12,0,0
418,2019-02-14 16:46:43,Entreprises Canada,106585486115074_2059446004162336,Photo,"Pour créer une entreprise plus solide, sachez mettre à profit vos relations avec des mentors, des pairs et des conseillers. Voyez comment BDC peut vous aider et aider les #femmesentrepreneures: http://ow.ly/zEqY30nHAip",,,5,54,0.06214,869,12,0,0
419,2019-01-10 19:15:17,Entreprises Canada,106585486115074_2007366852703585,Link,Voulez-vous aider des gens à recevoir les prestations et crédits qui leur reviennent? L’ARC cherche des organismes qui souhaitent tenir des comptoirs gratuits de préparation des déclarations d’impôt cette année. Découvrez comment participer : #ImpôtCdn http://ow.ly/CUox30ndAAN,,,3,32,0.033403,958,12,1,0
420,2019-04-24 15:42:06,Entreprises Canada,106585486115074_1068478770012919,Video,La diffusion en direct de l’annonce de la ministre Ng concernant l’appui du #GC aux activités d’#exportation et de #commerce.,,,0,26,0.036161,719,12,2,139
421,2019-04-24 15:01:18,Science canadienne,101966663200015_2329453473784645,Photo,"#LaPreuveParLimage est un concours de photo du NSERC / CRSNG, dont le volet francophone est administré par l’Acfas et qui est consacré exclusivement aux images issues de la recherche scientifique réalisée dans tous les domaines. Vous trouverez sur le site Web du CRSNG des centaines de photos uniques qui ont été soumises par le passé, comme celle de cette pieuvre colorée, prise à plus de 2 000 mètres au-dessous du niveau de la mer: http://ow.ly/5t5P30owu5A  📸: Euripidis Papanicolaou",,,0,77,0.044278,1739,12,9,0
422,2019-04-11 14:41:18,Science canadienne,101966663200015_2308486402548019,Photo,"Ce n’est pas tous les jours qu’on voit un trou noir pour la première fois. Des astronomes ont enfin réussi à prendre une photo de cet objet céleste si difficile à observer. La photo montre le trou noir au centre de Messier 87, une galaxie géante qui fait partie de l’amas de la Vierge. Il se trouve à 55 millions d’années-lumière de la Terre et possède une masse équivalente à 6,5 milliards de fois celle du Soleil. Avery Broderick, physicien à l’Université de Waterloo, a participé à l’interprétation des données de l’image. Il a également mis au point des modèles théoriques qui ont permis de prévoir avec exactitude l’apparence d’un trou noir. Pour en savoir plus: http://ow.ly/wgzt30ooMJi #sciencecdn",,,2,47,0.058313,806,12,5,0
424,2019-07-25 20:00:23,Innovation canadienne,245607425815415_876060999436718,Photo,"Les conditions sont en place pour que le Canada devienne un chef de file mondial de l’apprentissage intégré au travail. Au cours des quatre dernières années, le #GC a investi plus de 1,1 milliard de dollars dans l’apprentissage en milieu de travail pour que tous les étudiants de niveau postsecondaire du Canada puissent en profiter. Mais le #GC ne peut y arriver seul.  Aujourd’hui, le ministre Bains était à Toronto pour annoncer l’octroi de fonds à Business/Higher Education Roundtable pour que l’entreprise crée 44 000 stages coopératifs et sollicite la participation d’employeurs, d’établissements postsecondaires et d’autres parties prenantes en vue de promouvoir le développement et l’utilisation d’outils destinés à simplifier le processus d’embauche d’étudiants. http://ow.ly/u5W750vbMbW",,,1,20,0.056338,355,11,2,0
425,2019-06-03 18:30:07,Innovation canadienne,245607425815415_840969726279179,Photo,Apprenez-en davantage au sujet des lauréats des #PrixduPM de 2019 pour l’excellence dans l’enseignement! Ces éducateurs inspirent leurs élèves et les dotent des compétences nécessaires à leur réussite. http://ow.ly/YFZq50uvz5c,,,0,15,0.067265,223,11,0,0
426,2019-08-19 16:59:33,Innovation canadienne,245607425815415_814424388952735,Video,Merci à Monica d’Innovation canadienne de partager votre histoire de #Fierté!   #SFFP2019 #lamourgagne #GCInclusion #LGBTQ2 #saisondelafierté #FiertéISDE,,,0,70,0.073684,950,11,3,238
427,2019-08-27 03:30:11,Canada Business,244892072221776_2623370484373911,Photo,"Did you know @futurpreneur’s Start-up and Side Hustle programs include mentorship for up to two years? From sharing advice to helping you make connections and network, a mentor can make a big difference to a young entrepreneur. https://www.futurpreneur.ca/en/mentoring/",,,2,46,0.032213,1428,11,5,0
428,2019-08-16 18:26:31,Canada Business,244892072221776_2604230729621220,Photo,"Your mobile business partner is here! Download the early release of our new Canada Business App and see for yourself how easy it is to navigate government services, get tailored recommendations for your #business and much more. Try it out and let us know what you think!   : http://ow.ly/Zh8250vzLVT : http://ow.ly/pCnK50vzLVs",,,15,54,0.040909,1320,11,2,0
429,2019-08-14 15:45:12,Canada Business,244892072221776_2600355073342119,Photo,"Failure to provide adequate security could have profound economic consequences for your business, including monetary losses, theft of valuable intellectual property and leaked consumer data.   CyberSecure Canada is a voluntary cyber security certification program that helps small and medium-sized businesses demonstrate to their customers that they have security controls in place to protect against the most common and prevalent cyber threats.  Find out how to get certified: http://ow.ly/jICf50vxufW",,,5,41,0.026384,1554,11,3,0
431,2019-07-29 17:35:08,Canada Business,244892072221776_2571990036178623,Status,Your home-based business is thriving ✋. #DYK BizPaL can help you find the permits and licences you may need in order to help your #business grow? Learn more: http://ow.ly/9E7N30nRblu,,,10,33,0.027919,1182,11,0,0
432,2019-06-24 17:14:53,Canada Business,244892072221776_2508080659236228,Photo,Looking for motivation for your next #business move?   Hearing how others have taken risks can sometimes motivate us to persevere. Here are some #startup business #success stories to fuel your next business move:  http://ow.ly/oDwE50uLD7h,,,5,25,0.025747,971,11,1,0
433,2019-06-04 22:00:15,Canada Business,244892072221776_2471121499598811,Photo,"Minister Ng participated in a panel on unleashing the potential of #womenentrepreneurs at #WD2019, where she highlighted how the #GoC is helping advance women’s economic empowerment.",,,3,22,0.025761,854,11,0,0
434,2019-05-29 15:45:13,Canada Business,244892072221776_2459745797403048,Photo,"The Government of Canada is providing financing, networks and expertise to #womenentrepreneurs through the Women Entrepreneurship Strategy. The strategy includes the Trade Commissioner Service’s Business Women in International Trade program that helps women-owned businesses expand globally. #GoC",,,3,38,0.023313,1630,11,6,0
435,2019-05-27 17:22:29,Canada Business,244892072221776_2456338177743810,Photo,Did you know Canada’s Trade Commissioner Service has offices in over 160 cities worldwide? Get the business insights that can help you access new markets: http://ow.ly/h8ht50uqmZO,,,4,25,0.020799,1202,11,1,0
436,2019-05-16 15:45:12,Canada Business,244892072221776_2435717729805855,Photo,BDC can help guide you toward the best digital technology solutions for your business needs. Learn more:   http://ow.ly/NGJ050ueZfS,,,3,22,0.029216,753,11,0,0
437,2019-04-08 18:36:27,Canada Business,244892072221776_2374022959308666,Photo,"Minister Ng was in #Halifax to highlight the #GoC’s commitment to helping Canada’s #SMEs start up, scale up and access new markets. If you’re looking to grow but don’t know where to start, try #InnovationCanada, the one-stop shop for #smallbiz support. http://ow.ly/J8CD50pyh73",,,10,38,0.039014,974,11,1,0
438,2019-03-15 17:00:26,Canada Business,244892072221776_2337523056291990,Photo,"#DYK starting your own #business from scratch can be less expensive than buying a successful business? Whether you’re looking to start a business or buy an existing one, here’s a list of things to consider: http://ow.ly/eVIY30o3GtL #BizTip",,,11,43,0.047884,898,11,4,0
439,2019-02-14 16:55:12,Canada Business,244892072221776_2294115617299401,Photo,"Build a better business by developing close relationships with mentors, peers and advisors. See how BDC can help you and your fellow #womenentrepreneurs:  http://ow.ly/nzhi30nHAa6",,,6,33,0.033777,977,11,2,0
441,2019-01-23 16:45:17,Canada Business,244892072221776_2260083570702606,Photo,"One of @CFIB’s goals during #RedTape Awareness Week is to make the hiring process easier and less time-consuming. This year, it’s holding free webinars to answer questions about hiring and training. Learn more: http://ow.ly/5vnG30npw4E",,,1,30,0.018204,1648,11,2,0
442,2019-01-14 16:45:14,Canada Business,244892072221776_2247027048674925,Status,Looking for motivation for your next business move?   Hearing how others have taken risks can sometimes motivate us to persevere. Here are some business success stories to fuel your next move: http://ow.ly/TV7Q30niXMG,,,3,26,0.024809,1048,11,1,0
443,2019-01-10 19:15:17,Canada Business,244892072221776_2241461082564855,Link,Want to help people get the benefits and credits they’re entitled to? The CRA is looking for organizations to host free tax clinics this tax season. Find out how to get involved: #CdnTax http://ow.ly/UWUX30ndAu3,,,4,22,0.019214,1145,11,1,0
444,2019-08-28 18:04:09,Canadian Innovation,136461090093520_598064920599799,Photo,"Teachers guide, support and inspire. Join us in recognizing these outstanding individuals who dedicate their lives to nurturing the next generation! Nominations are now open: http://ow.ly/lDYC50vMR82 #PMAwards",,,0,31,0.03753,826,11,6,0
445,2019-08-20 20:08:40,Canadian Innovation,136461090093520_593770207695937,Video,"United, diverse and thriving: That’s how 🇨🇦’s public service rolls and that’s what #PSPW2019, which coincides with Capital #Pride, is celebrating! LGBTQ2 friends, family members, and allies: You complete us! ow.ly/8h2Z50vDEvm  #LoveWins #PrideSeason #LGBTQ2 #ISEDProud #FiertéCapPride",,,0,30,0.03352,895,11,2,0
446,2019-08-20 14:59:05,Canadian Innovation,136461090093520_593646661041625,Video,Thank you Shawn from Natural Resources Canada  for sharing your #Pride story! #PSWP2019  #PSPW2019 #LoveWins #PrideSeason #LGBTQ2 #ISEDProud #FiertéCapPride,,,0,31,0.024429,1269,11,1,246
447,2019-08-12 17:00:46,Canadian Innovation,136461090093520_589328931473398,Photo,"The future is here! Is your organization ready to deliver internships and digital skills training for recent graduates?  Apply to the Government of Canada’s Digital Skills for Youth (#DS4Y) Program, which helps recent graduates gain real-life experience and succeed in the jobs of tomorrow. http://ow.ly/n3rO50vvy2q",,,1,27,0.036835,733,11,1,0
448,2019-06-27 16:30:16,Canadian Innovation,136461090093520_564256803980611,Link,"Minister Bains was in #Montreal to announce the SCALE.AI #Supercluster’s new projects with over 20 partners, which will support an ambitious vision for #Canada’s supply chain. Find out more: http://ow.ly/qZWe50uOn1M",,,0,26,0.037901,686,11,2,0
449,2019-06-17 12:50:20,Canadian Innovation,136461090093520_558265797913045,Photo,Canada’s #aerospace industry continues to be a global leader. Take a look at the State of Canada’s Aerospace Industry 2019 Report: http://ow.ly/DHl150uG3w1 #CDNAerospace,,,0,16,0.027778,576,11,4,0
450,2019-06-07 19:04:43,Canadian Innovation,136461090093520_552667298472895,Photo,"#DYK that @AstroDavidS is the fourth @CanadianSpaceAgency astronaut to step out of the #ISS to perform a #spacewalk? His predecessors were @AstronautChrisHadfield, Steve MacLean and Dave Williams. #CdnInnovation",,,0,0,0.0,0,11,5,0
451,2019-05-23 16:02:30,Canadian Innovation,136461090093520_544572209282404,Video,"#ICYMI: On our latest episode of #InnovationLive🎥, we had an interesting chat with The Growcer’s Branavan Tharmarajah about how the company’s innovative idea is helping address food insecurity in Canada’s North. 🌱🌿  Check out what he had to say and show us! https://www.facebook.com/CanadianInnovation/videos/412388936012073/ #CanadianInnovationWeek",,,0,15,0.039788,377,11,0,68
454,2019-04-17 18:01:20,Canadian Innovation,136461090093520_526584454414513,Photo,"Budget 2019 announced new funding for #CanCode, and the program is now accepting applications. Are you a not-for-profit organization that offers coding and digital skills learning opportunities to K-12 youth and/or teachers?  Do you have three years of experience delivering these types of programs?  If you answered yes to both questions, you qualify for CanCode funding.  Request an application package today!  http://ow.ly/pEeD50qtjcS",,,1,19,0.038384,495,11,1,0
455,2019-03-26 18:18:34,Canadian Innovation,136461090093520_516364665436492,Photo,"The Government of Canada, through its #CanCode program, is setting up young Canadians to succeed and ensure they have the right skills for the jobs of tomorrow.   Today, the Honourable Navdeep Bains,  Minister of Innovation, Science and Economic Development, was in Mississauga to announce new funding for the program that will give 4.8 million more Canadian students the opportunity to learn digital skills and provide 160,000 Canadian teachers with training by March 2024.",,,1,0,0.0,0,11,4,0
456,2019-03-04 15:58:11,Canadian Innovation,136461090093520_507094506363508,Status,Don’t miss our live stream today: Minister Bains will talk about progress on innovation in Canada. #InnovationNation,,,0,11,0.025346,434,11,0,0
457,2019-02-08 19:10:48,Canadian Innovation,136461090093520_496297717443187,Photo,"Minister Jordan was at @NovaScotiaCommunityCollege to celebrate its updated #infrastructure project, funded under the #GoC ’s Post-Secondary Institutions Strategic Investment Fund: http://ow.ly/z3ot101tLMk",,,1,18,0.04401,409,11,0,0
458,2019-01-25 22:55:01,Canadian Innovation,136461090093520_489761174763508,Link,Canada is the perfect place to do business. That’s why the Government of Canada was at #WEF19 in #Davos: to position Canada as a leader in #innovation and to attract investments that will create jobs for the middle class. http://ow.ly/Uw8D101spmK,,,0,13,0.020124,646,11,1,0
459,2019-07-24 13:58:05,Canadian Innovation,136461090093520_331412357803621,Video,Check out how the #StrategicInnovationFund investment in Woodbridge Foam Corporation is helping support Canada’s auto manufacturing sector and the creation of good jobs. http://ow.ly/xwnA30pc54N,,,0,25,0.041391,604,11,0,157
460,2019-08-12 15:38:19,Canadian Science,126081027444465_418941072057494,Video,LIVE: Minister Duncan announces @InnovationCA #research infrastructure funding | EN DIRECT: La mini. Duncan annonce des fonds d'@InnovationCA   pour l'infrastructure de #recherche,,,0,61,0.0466,1309,11,5,332
461,2019-08-29 15:01:16,Canadian Science,126081027444465_2644361835616359,Photo,"#DYK? Each year, lightning kills approximately 10 Canadians and injures 100 to 150 others. Here are some quick tips and precautions to help keep you and your family safe during a lightning storm: http://ow.ly/D9bC50vMxVb",,,2,128,0.042652,3001,11,12,0
462,2019-08-20 15:00:50,Canadian Science,126081027444465_2627643400621536,Photo,"Stéphanie Lavoie’s team of scientists at Canada’s National Microbiology Laboratory is working on a game-changing form of diagnostic testing known as the Dried Blood Spot test. Prick your finger, place it on filter paper, wait for the blood to dry, and ship the sample to the lab for diagnosis. This technology will provide Canadian communities that lack access to traditional testing with the tools they need to get tested for blood-borne infectious diseases. Check it out: http://ow.ly/8c8u50vDd3j",,,0,20,0.017841,1121,11,0,0
463,2019-06-12 15:00:44,Canadian Science,126081027444465_2500677899984754,Photo,"Conserving and restoring ecosystems is something that Canada takes great pride in. Embark on a trip with Parks Canada to discover the top science and conservation stories from across the country. This interactive map demonstrates the hard work and efforts in protecting species, habitats and ecosystems in Canada: http://ow.ly/DfjG50uChOA",,,0,262,0.014556,18000,11,7,0
464,2019-05-28 15:01:23,Canadian Science,126081027444465_2473430122709532,Photo,"Did you get your 10,000 steps in today? If not, the University of Calgary's Dr. Reed Ferber says you don’t need to feel guilty about it. According to his research, context is everything. Dr. Ferber and his team aim to find meaning in the data provided by wearable devices, hoping to use this information to help predict and prevent injuries. http://ow.ly/Wh2O50uqVD8 #HealthInnovation",,,6,38,0.028507,1333,11,0,0
465,2019-05-22 15:01:17,Canadian Science,126081027444465_2463103600408851,Photo,"Celebrate Canada’s amazing biodiversity with Environment Canada’s BioKits! Whether you're hiking in the forest or passing through the city, biodiversity is all around you! It’s up to you to explore it with your family: http://ow.ly/jXbM50umq4u Environment and Climate Change #InternationalDayforBiodiversity",,,1,53,0.035957,1474,11,6,0
466,2019-05-02 18:48:47,Canadian Science,126081027444465_2429476380438240,Photo,"Today, Minister Duncan kicked off Science Odyssey, a nationwide celebration of science, tech, engineering, arts and math (STEAM). Science Odyssey runs from May 4 to 19 and features hundreds of exciting activities and events across Canada!  Minister Duncan also honoured this year’s recipients of NSERC’s Awards for Science Promotion, Marc Lalande and the River Institute, for their efforts in getting young Canadians involved in science. To continue fostering this culture of curiosity, the #GoC is investing in the PromoScience program to inspire the #nextgen through summer camps, school programs and more! http://ow.ly/t8AF30oCllR #OdySci",,,1,84,0.04428,1897,11,3,0
467,2019-02-22 18:01:09,Canadian Science,126081027444465_2323046281081251,Photo,"You’ve probably heard that oatmeal is good for you. They are high in protein and can help lower cholesterol. Scientists are using genome sequencing to produce higher-yielding oats that are more resistant to disease and climate change. Learn how this project, co-led by Agriculture and Agri-Food Canada and theU.S. Department of Agriculture, is using genomics to make good things even better: http://ow.ly/CXrY30nMHT4 #GRDICanada #livinginnovation #genomics",,,0,173,0.0625,2768,11,5,0
468,2019-02-12 13:49:58,Canadian Science,126081027444465_2306031486116064,Photo,#ChooseScience,"ChooseScience2019, IntDayWomenInScience2019",,0,67,0.024778,2704,11,9,0
469,2019-01-21 19:20:04,Canadian Science,126081027444465_2272796452772901,Photo,"Apply today to be part of Canada’s new Council on Science and Innovation. We’re looking for a diverse group of experts in science and innovation who will advise the Minister of Innovation, Science and Economic Development and the Minister of Science and Sport. http://ow.ly/uar530noCLu #CanadaSupportsScience #CdnInnovation",,,0,86,0.050857,1691,11,6,0
