Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1.08562E+18,https://twitter.com/ISED_CA/status/1085620002592575488,"#DYK: In 2017, Canada produced a vehicle every 14 seconds. That’s 2.2 million vehicles in a year, which has an enormously positive impact on our economy. https://t.co/5AwSJEIEec",2019-01-16 19:29 +0000,2549,9,0.003530796,1,0,5,0,0,0,2,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.08529E+18,https://twitter.com/ISED_CA/status/1085288899499511811,"Minister Duclos, on behalf of Minister Bains, announces #highspeedInternet funding for Thetford Mines, #Quebec. #ConnectToInnovate https://t.co/epRRKYyM4p https://t.co/8u7oOitFgJ",2019-01-15 21:33 +0000,2353,17,0.007224819,1,0,2,2,6,3,2,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.08519E+18,https://twitter.com/ISED_CA/status/1085189983651033089,Is your vehicle made in Canada? To find out: https://t.co/I9R5w8lcea #CanadaatNAIAS,2019-01-15 15:00 +0000,2333,20,0.008572653,1,0,2,0,12,1,4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.08517E+18,https://twitter.com/ISED_CA/status/1085167287898906630,🔴 #InnovationLive🎥  is on air now from #3GCDC. Check it out! 📊🖥️🤓 https://t.co/Cq6xH68XjO https://t.co/D2qV3ilUjb,2019-01-15 13:30 +0000,2058,56,0.027210884,1,0,2,2,24,6,10,0,0,0,0,0,0,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.08516E+18,https://twitter.com/ISED_CA/status/1085159877142609922,🔔The first #InnovationLive episode of 2019 starts at 8:30 a.m. (ET) on FB. You won’t want to miss it! 📊🖥️🤓 #3GCDC https://t.co/Cq6xH68XjO https://t.co/BvOBCAtOjk,2019-01-15 13:00 +0000,2097,19,0.009060563,2,1,1,2,6,0,6,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.08496E+18,https://twitter.com/ISED_CA/status/1084955849502703616,"This week, we’re covering one of Canada’s largest manufacturing sectors: the #autosector! Look out for fun factoids and statements that will surprise and wow you! 🚗 https://t.co/rdiIQtnMgJ",2019-01-14 23:30 +0000,4084,24,0.005876592,3,1,7,3,2,1,2,0,0,0,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.08492E+18,https://twitter.com/ISED_CA/status/1084918214319058946,Minister Bains now in Detroit to meet with auto stakeholders to promote Canada’s automotive sector and its workers. #CanadaatNAIAS,2019-01-14 21:00 +0000,3078,13,0.004223522,4,0,6,2,0,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.08491E+18,https://twitter.com/ISED_CA/status/1084914405475827715,The #GoC is taking action to support Canadian workers through the auto sector. These investments are creating jobs &amp; keeping our auto industry strong and competitive globally. https://t.co/XeACOWAnPc https://t.co/af7O7Cs88b,2019-01-14 20:45 +0000,2515,26,0.010337972,2,0,4,1,8,0,6,0,0,0,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.08486E+18,https://twitter.com/ISED_CA/status/1084858025196875784,"Tune in to #InnovationLive🎥 on #FB tmrw at 8:30 a.m. (ET). Our hosts will speak to two very special guests: Anil Arora, Chief Statistician @StatCan_eng; and Graham Flack, Deputy Minister @SocDevSoc, on the #Data #Strategy for the Federal Public Service. 📊🖥️🤓 #3GCDC https://t.co/jJHMHyOR3B",2019-01-14 17:01 +0000,9405,88,0.009356725,20,0,16,12,5,8,9,0,0,0,1,0,0,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.08484E+18,https://twitter.com/ISED_CA/status/1084837069766172673,Today is the last day to submit your nominations for the #PMAwards for Teaching Excellence! Recognize outstanding educators who are nurturing the minds of 🇨🇦 ’s future leaders and innovators! https://t.co/wDnvvyp8WW https://t.co/BWjPzaK2QD,2019-01-14 15:38 +0000,2283,14,0.006132282,1,1,4,3,2,0,2,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
